retention_time,intensity
0.0,21.523585398772155
0.02,14.833412555217825
0.04,23.81892067040787
0.06,24.80281691542274
0.08,10.378141588156874
0.1,13.65573826987218
0.12,20.839148686769597
0.14,18.65203568947887
0.16,20.182534477370616
0.18,16.03460039452932
0.2,24.730076348931107
0.22,24.25529779019296
0.24,20.72972695765194
0.26,26.068997102728563
0.28,22.80353614210383
0.3,16.202704768817952
0.32,22.376076470915642
0.34,15.771041354934761
0.36,24.99081254298096
0.38,20.382011556263972
0.4,19.74038129538527
0.42,17.293067851201474
0.44,26.843413717234768
0.46,19.991018588416587
0.48,18.654951922255695
0.5,19.068812911025926
0.52,23.52387935595894
0.54,22.722368188949513
0.56,22.991585579843687
0.58,23.114760950789556
0.6,31.70158465832761
0.62,18.99391814170073
0.64,18.49738054838468
0.66,17.02228447416496
0.68,24.20355065465162
0.7000000000000001,26.80097049177595
0.72,20.618775843861297
0.74,17.02008202867698
0.76,17.130755355947734
0.78,24.538366698584284
0.8,25.033857811734887
0.8200000000000001,24.065483934297184
0.84,18.054229706377097
0.86,22.574589096064635
0.88,22.029152929800944
0.9,22.571044016951763
0.92,25.866556401343235
0.9400000000000001,22.65913464901923
0.96,24.96740061844006
0.98,21.942334145038583
1.0,23.081570477430684
1.02,24.823876589896777
1.04,14.413044230180827
1.06,20.131779613448295
1.08,19.409507894911474
1.1,18.598139113426377
1.12,20.447894619145497
1.1400000000000001,29.329308903236893
1.16,17.556360813918996
1.18,26.757738410244745
1.2,13.532742853464228
1.22,20.303325098781396
1.24,22.822086211716826
1.26,24.96991392209424
1.28,25.625325930269774
1.3,26.066228009518653
1.32,20.38607196408781
1.34,19.848049200954236
1.36,26.479702418391476
1.3800000000000001,21.263218910419525
1.4000000000000001,15.871127786090387
1.42,16.61284222066739
1.44,17.711634447699357
1.46,24.824214567784352
1.48,23.079950568690403
1.5,25.84955446335986
1.52,20.290063727407787
1.54,23.248116844189138
1.56,25.612352659055368
1.58,20.966539873631152
1.6,24.825908942443565
1.62,19.261050252932307
1.6400000000000001,20.783943677029836
1.6600000000000001,20.718940871307254
1.68,16.67673276165922
1.7,25.118976000897714
1.72,20.36516520982576
1.74,22.802590277597805
1.76,25.17167396896288
1.78,25.028294525927127
1.8,26.150137911839128
1.82,22.358233189985526
1.84,20.761490602312357
1.86,22.506584748164663
1.8800000000000001,14.495568154677315
1.9000000000000001,15.723612163166486
1.92,16.37247914812518
1.94,18.02641305953406
1.96,25.038054492487056
1.98,18.538189518393754
2.0,21.201038880123026
2.02,29.614130028741474
2.04,21.362698189598316
2.06,26.857607961707444
2.08,18.528261789303397
2.1,22.19688196938797
2.12,18.50648681702592
2.14,21.608676948235985
2.16,27.594154354009166
2.18,14.953678086866164
2.2,26.225928464529662
2.22,26.31011046434844
2.24,24.49408568015217
2.2600000000000002,25.077277616274106
